Latin name,Common name,Order,Title,Authors,Year,Journal,Community response,Additional community repsonse,Justification for keystoneness,Detailed justification
Balaenoptera acutorostrata,Minke Whale,Cetartiodactyla,"Existing biodiversity, non-indigenious species, food-web and seafloor integrity GEnS indicators. DEVOTES FP7 Project",Teixeira et al.,2014,NA,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Balaenoptera musculus,Blue Whale,Cetartiodactyla,Southern Ocean iron fertilization by baleen whales and Antarctic krill,Nicol et al. ,2010,Fish and Fisheries,Chemical and Energy Cycling,No secondary response,Primary,Empirical observation or experiment
Balaenoptera musculus brevicauda,Pygmy Whale,Cetartiodactyla,Southern Ocean iron fertilization by baleen whales and Antarctic krill,Nicol et al. ,2010,Fish and Fisheries,Chemical and Energy Cycling,No secondary response,Primary,Empirical observation or experiment
Balaenoptera physalus,Fin Whale,Cetartiodactyla,Southern Ocean iron fertilization by baleen whales and Antarctic krill,Nicol et al. ,2010,Fish and Fisheries,Chemical and Energy Cycling,No secondary response,Primary,Empirical observation or experiment
Balistapus undulatus,Red-lined triggerfish,"	Tetraodontiformes","Recovery of a coral reef keystone predator, Balistapus undulatus, in East African marine parks",McClanahan,2000,Biological Conservation,Abundance,No secondary response,Primary,Empirical observation or experiment
Bettongia lesueur,Burrowing bettong,Rodentia,Reintroduction of fossorial native mammals and potential impacts on ecosystem processes in an Australian desert landscape,James and Eldridge,2007,Biological Consevration,Chemical and Energy Cycling,No secondary response,Primary,Empirical observation or experiment
Bison bonasus,European bison,Artiodactyla,Influence of management practices on large herbivore diet—Case of European bison in Białowieża Primeval Forest (Poland),Kowalcyzk et al.,2010,Forest Ecology and Management,Abundance,No secondary response,Primary,Empirical observation or experiment
Boreogadus saida,Polar Cod,"	Gadiformes","Shipping alters the movement and behavior of Arctic cod (Boreogadus saida), a keystone fish in Arctic marine ecosystems",Ivanova et al.,2020,Ecological Applications,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Branchinecta orientalis,Fairy Shrimp,Decapoda,The keystone role of anostracans and copepods in European soda pans during the spring migration of waterbirds,Horváth et al.,2013,Freshwater Biology,Biodiversity,No secondary response,Primary,Empirical observation or experiment
Callianassa filholi,Ghost Shrimp,Decapoda,Temporal and spatial variation in macrofauna community composition imposed by ghost shrimp Callianassa filholi bioturbation,Berkenbusch et al. 2000,2000,Marine Ecology Progress Series,Chemical and Energy Cycling,No secondary response,Primary,Empirical observation or experiment
Canis lupus,Gray Wolf,Carnivora,"Trophic cascades linking wolves (Canis lupus), coyotes (Canis latrans), and small mammals",Miller et al.,2012,Canadian Journal of Zoology,Abundance,Behavioral,Primary,Empirical observation or experiment
Canis lupus dingo,Dingo,Carnivora,Keystone effects of an alien top-predator stem extinctions of native mammals,Letnic et al.,2009,Proceedings of the Royal Society B: Biological Sciences,Abundance,No secondary response,Primary,Empirical observation or experiment
Carcharhinus leucas,Bull Shark,Carcharhiniformes,Cascading Effects of the Loss of Apex Predatory Sharks from a Coastal Ocean,Myers et al. ,2007,Science,Abundance,No secondary response,Post-hoc,meta-anlsysis
Carcharhinus limbatus,Blacktip Shark,Carcharhiniformes,Cascading Effects of the Loss of Apex Predatory Sharks from a Coastal Ocean,Myers et al. ,2007,Science,Abundance,No secondary response,Post-hoc,meta-anlsysis
Carcharhinus obscurus,Dusky Shark,Carcharhiniformes,Cascading Effects of the Loss of Apex Predatory Sharks from a Coastal Ocean,Myers et al. ,2007,Science,Abundance,No secondary response,Post-hoc,meta-anlsysis
Carcharhinus plumbeus,Sandbar Shark,Carcharhiniformes,Cascading Effects of the Loss of Apex Predatory Sharks from a Coastal Ocean,Myers et al. ,2007,Science,Abundance,No secondary response,Post-hoc,meta-anlsysis
Caretta caretta,Loggerhead Sea Turtle,"	Testudines","Existing biodiversity, non-indigenious species, food-web and seafloor integrity GEnS indicators. DEVOTES FP7 Project",Teixeira et al.,2014,NA,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Carollia perspicillata,Seba's short tailed bat,"	Chiroptera",Keystone species in seed dispersal networks are mainly determined by dietary specialization,Mello et al.,2015,Oikos,Abundance,No secondary response,Primary,network
Castor canadensis,North American beaver ,Rodentia,Trends in Rocky Mountain amphibians and the role of beaver as a keystone species,Hossack et al.,2015,Biological Conservation,Abundance,Physical Effects,Primary,Empirical observation or experiment
Castor fiber,Eurasian Beaver,Rodentia,Are beavers a solution to the freshwater biodiversity crisis?,Law et al. ,2019,Diversity and Distributions,Biodiversity,Physical Effects,Primary,Empirical observation or experiment
Casuarius bennetti,Dwarf Cassowary,Casuariiformes,The Frugivore Community and the Fruiting Plant Flora in a New Guinea Rainforest: Identifying Keystone Frugivores,Mack and Wright,2005,Tropical Fruits and Frugivores,Biodiversity,No secondary response,Primary,network
Centrophorus granulosus,Gulper shark,"	Squaliformes",THE KEYSTONE SPECIES IN THE DEMERSAL COMMUNITY FROM THE SANTA MARIA DI LEUCA COLD-WATER PROVINCE (MEDITERRANEAN SEA) Introduction -The trophic flows within the demersal community from the Santa,Carlucci et al.,2013,Biologia marina mediterranea,Abundance,No secondary response,Primary,network
Cerastoderma edule,Common Cockle,"	Cardiida",Co-occurrence of pathogen assemblages in a keystone species the common cockle Cerastoderma edule on the Irish coast,Albuixech-Martí et al.,2021,Parasitology,Chemical and Energy Cycling,No secondary response,Post-hoc,Determined from literature assessment
Ceratogymna atrata,Black-casqued Hornbill,"	Bucerotiformes",Habitat use and resource tracking by African Ceratogymna hornbills: implications for seed dispersal and forest conservation,Whitney and Smith,1998,Animal Conservation,Abundance,Biodiversity,Primary,Empirical observation or experiment
Ceratogymna cylindricus albotibialis,Brown-cheeked Hornbill,"	Bucerotiformes",Habitat use and resource tracking by African Ceratogymna hornbills: implications for seed dispersal and forest conservation,Whitney and Smith,1998,Animal Conservation,Abundance,Biodiversity,Primary,Empirical observation or experiment
Chaetodipus baileyi,Bailey's Pocket Mouse,Rodentia,Delayed Compensation for Missing Keystone Species by Colonization,Ernest and brown,2001,Science,Chemical and Energy Cycling,No secondary response,Primary,Empirical observation or experiment
Chamelea gallina,Striped Venus,"	Venerida",Bulgarian Initial assessment and GES Report. ,BSBD,2013,NA,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Clupea harengus,Atlantic Herring,"	Clupeiformes",Human-induced Trophic Cascades and Ecological Regime Shifts in the Baltic Sea,Österblom et al.,2007,Ecosystems,Biodiversity,Chemical and Energy Cycling,Post-hoc,Determined from literature assessment
Colaptes auratus,Yellow-shafted Flicker,"	Piciformes","NEST SITES AND NEST WEBS FOR CAVITY-NESTING COMMUNITIES IN INTERIOR BRITISH COLUMBIA, CANADA: NEST CHARACTERISTICS AND NICHE PARTITIONING",Martin et al.,2004,The Condor,Physical Effects,No secondary response,Primary,Empirical observation or experiment
Concholepas concholepas,Chilean abalone,"	Neogastropoda",Coastal marine communities: trends and perspectives from human-exclusion experiments,Castilla,1999,Trends in Ecology & Evolution,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Connochaetes taurinus,Wildebeest,Artiodactyla,"Mammal population regulation, keystone processes and ecosystem dynamics.",Sinclair,2003,Philosophical Transactions of the Royal Society B: Biological Sciences,Abundance,Physical Effects,Primary,network
Cornitermes cumulans,Kollar termite,"	Blattodea","The Termitaria of Cornitermes cumulans (Isoptera, Termitidae) and Their Role in Determining a Potential Keystone Species",Redford,1984,Biotropica,Biodiversity,No secondary response,Primary,Empirical observation or experiment
Cottus gobio,European Bullhead,"	Scorpaeniformes",Trophic trickles and cascades in a complex food web: impacts of a keystone predator on stream community structure and ecosystem processes,Woodward et al. ,2008,Oikos,Abundance,Chemical and Energy Cycling,Primary,Empirical observation or experiment
Crangon crangon,Brown shrimp,Decapoda,Ecological perspectives of The north sea c. Crangon fishery,Doeksen,2006,"BSc Thesis, Wageningen University ",Abundance,No secondary response,Post-hoc,Determined from literature assessment
Crocodylus niloticus,Nile crocodile,"	Crocodilia",Conservation and management of crocodiles in Africa,A.C. Pooley,1973,Journal of the South African Wildlife Management Association ,Physical Effects,No secondary response,Post-hoc,Determined from literature assessment
Culter alburnus,Topmouth Cutler,Cypriniformes,"Using a topological approach to identify keystone species of fish in eutrophic lake ecosystems: A case of Zhushan Bay, Taihu Lake",Ren et al. ,2022,Fisheries Management and Ecology,Abundance,No secondary response,Primary,network
Culter mongolicus,Mongolian Redfin,"	Cypriniformes","Using a topological approach to identify keystone species of fish in eutrophic lake ecosystems: A case of Zhushan Bay, Taihu Lake",Ren et al. ,2022,Fisheries Management and Ecology,Abundance,No secondary response,Primary,network
Cynomys gunnisoni,Gunnison's Prairie Dog,Rodentia,"Ecological roles and conservation challenges of social, burrowing, herbivorous mammals in the world's grasslands",Davidson et al.,2013,Frontiers in Ecology and the Environment,Physical Effects,No secondary response,Post-hoc,Determined from literature assessment
Cynomys ludovicianus,Black-tailed Prarie Dog,Rodentia,Direct and indirect effects of a keystone engineer on a shrubland-prairie food web,Duchardt. Et al,2021,Ecology,Biodiversity,Physical Effects,Primary,Empirical observation or experiment
Daphnia galeata,Daphnia spp.,"	Anomopoda",Daphnia as keystone predators: effects on phytoplankton diversity and grazing resistance,Sarnelle,2005,Journal of Plankton Research,Biodiversity,No secondary response,Primary,Empirical observation or experiment
Daphnia magna,Daphnia spp.,"	Anomopoda",Daphnia as keystone predators: effects on phytoplankton diversity and grazing resistance,Sarnelle,2005,Journal of Plankton Research,Biodiversity,No secondary response,Primary,Empirical observation or experiment
Dascyllus trimaculatus,Three Spotted Damselfish,"	Perciformes",The Role of threespot damselfish as a kesytone species in a bahamian patch reef,Axline-Minotti,2003,Msc. Diss. Ohio State University,Behavioral,Biodiversity,Primary,Empirical observation or experiment
Delphinus delphis,Common Dolphin,Cetartiodactyla,Overfishing of top predators eroded the resilience of the Black Sea system regardless of the climate and anthropogenic conditions,Llope et al.,2011,Global Change Biology,Abundance,Chemical and Energy Cycling,Post-hoc,Determined from literature assessment
Delphinus delphis ponticus,Black Sea Common Dolphin,Cetartiodactyla,Overfishing of top predators eroded the resilience of the Black Sea system regardless of the climate and anthropogenic conditions,Llope et al.,2011,Global Change Biology,Abundance,Chemical and Energy Cycling,Post-hoc,Determined from literature assessment
Diadema africanum,Long-spined Sea Urchin,"	Diadematoida",Before and after a disease outbreak: Tracking a keystone species recovery from a mass mortality event,Gizzi et al.,2020,Marine Environmental Research,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Diplodus puntazzo,Sheepshead Bream,Perciformes,Contributions of food web modelling to the ecosystem approach to marine resource management in the Mediterranean Sea,Coll and Libralato,2012,Fish and Fisheries,Abundance,Chemical and Energy Cycling,Primary,network
Dipodomys ingens,Giant Kangaroo Rat,Rodentia,"Evaluating current and future range limits of an endangered, keystone rodent (Dipodomys ingens)",Widick and  Bean,2019,Diversity and Distributions,Physical Effects,No secondary response,Post-hoc,Determined from literature assessment
Dipodomys merriami,Merriam's Kangaroo Rat,Rodentia, Control of a Desert-Grassland Transition by a Keystone Rodent Guild,Brown and Heske,1990,Science,Abundance,Chemical and Energy Cycling,Primary,Empirical observation or experiment
Dipodomys ordii,Ord's Kangaroo Rat,Rodentia, Control of a Desert-Grassland Transition by a Keystone Rodent Guild,Brown and Heske,1990,Science,Abundance,Chemical and Energy Cycling,Primary,Empirical observation or experiment
Dipodomys spectabilis,Banner-tailed kangaroo rat,Rodentia,Presence/absence of a keystone species as an indicator of rangeland health,Krogh et al,2002,Journal of Arid Environments,Abundance,Chemical and Energy Cycling,Primary,Empirical observation or experiment
Dipodomys stephensi,Stephen's Kangaroo Rat,Rodentia,Keystone effects of the endangered Stephens' kangaroo rat (Dipodomys stephensi),Brock and Kelt ,2004,Biological Conservation,Abundance,Biodiversity,Primary,Empirical observation or experiment
Dobsonia magna,Flying Fox,"	Chiroptera",The Frugivore Community and the Fruiting Plant Flora in a New Guinea Rainforest: Identifying Keystone Frugivores,Mack and Wright,2005,Tropical Fruits and Frugivores,Abundance,No secondary response,Primary,network
Dolichotis patagonum,Patagonian Mara,Rodentia,"Ecological roles and conservation challenges of social, burrowing, herbivorous mammals in the world's grasslands",Davidson et al.,2012,Frontiers in Ecology and the Environment,Physical Effects,No secondary response,Post-hoc,Determined from literature assessment
Donacilla cornea ,Donacilla cornea ,,Bulgarian Initial assessment and GES Report. ,BSBD,2013,NA,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Donax trunculus,Abrupt wedge shell,"	Cardiida",Bulgarian Initial assessment and GES Report. ,BSBD,2013,NA,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Dromiciops gliroides,Monito del Monte,Microbiotheria,The disruption of a keystone interaction erodes pollination and seed dispersal networks,Vitali et al.,2022,Ecology,Biodiversity,No secondary response,Primary,network
Dryocopus martius,Black woodpecker,"	Piciformes",Modelling distribution and potential overlap between Boreal Owl Aegolius funereus and Black Woodpecker Dryocopus martius: implications for management and monitoring plans,Brambilla et al.,2013,Bird Conservation International,Physical Effects,No secondary response,Post-hoc,Determined from literature assessment
Ducula zoeae,Fruit Pigeon,Columbiformes,The Frugivore Community and the Fruiting Plant Flora in a New Guinea Rainforest: Identifying Keystone Frugivores,Mack and Wright,2005,Tropical Fruits and Frugivores,Abundance,No secondary response,Primary,network
Echinus esculentus,Edible sea urchin,"	Camarodonta",Sea urchin grazing and kelp re-vegetation in the NE Atlantic,Norderhaug and Christie,2009,Marine Biology Research,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Eciton burchelli,Army Ant,"	Hymenoptera","Habitat fragmentation, percolation theory and the conservation of a keystone species",Boswell et al.,1998,Proceedings of the Royal Society of London. Series B: Biological Sciences,Biodiversity,Physical Effects,Primary,network
Engraulis encrasicolus,European Anchovy,"	Clupeiformes",Overfishing drives a trophic cascade in the Black Sea,Daskalov,2022,Marine Ecology Progress Series,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Enhydra lutris,Sea Otter,Carnivora,"Limited effects of a keystone species:trends of sea otters and kelp forests at the Semichi Islands, Alaska",Konar,2000,Marine Ecology Progress Series,Abundance,Life History,Primary,Empirical observation or experiment
Epinephelus marginatus,Dusky Grouper,"	Perciformes",Rapid Decline of Nassau Grouper Spawning Aggregations in Belize: Fishery Management and Conservation Needs,Sala et al.,2001,Fisheries ,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Eschrichtius robustus,Gray Whale,Cetartiodactyla,Destruction and Opportunity on the Sea Floor: Effects of Gray Whale Feeding,Oliver and Slattery ,1985,Ecology,Biodiversity,Physical Effects,Primary,Empirical observation or experiment
Esox lucius,Northern Pike,"	Esociformes",Salmonid or nonsalmonid lakes: predicting the fate of northern boreal fish communities with hierarchical filters relating to a keystone piscivore,Spens and Ball,2008,Canadian Journal of Fisheries and Aquatic Sciences,Chemical and Energy Cycling,No secondary response,Primary,Empirical observation or experiment
Euastacas armatus,Murray Crayfish,Decapoda,"It’s not there, but it could be: a renewed case for reintroduction of a keystone species into the Lower River Murray",Whiterod and Zukowski,2019,Transactions of the Royal Society of South Australia,Chemical and Energy Cycling,No secondary response,Primary,Empirical observation or experiment
Euhrychiopsis lecont,Weevil,"	Coleoptera",Is There a New Keystone Species in North American Lakes and Rivers?,Creed,2000,Oikos,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Eupomacentrus planifrons,Threespot Damselfish,Perciformes,The Threespot Damselfish: A noncarnivorous keystone species,Williams,1990,The American Natutalist,Behavioral,Biodiversity,Post-hoc,Determined from literature assessment
Eurosta solidaginis,Goldenrod gall Fly,"	Diptera",Keystone Individuals Alter Ecological and Evolutionary Consumer-Resource Dynamics,Start,2018,The American Naturalist,Life history,No secondary response,Primary,Empirical observation or experiment
Faxonius rusticus,Rusty Crayfish,Decapoda,"How a trematode parasite (Microphallus Ward, 1901) impacts the grazing behavior of an aquatic keystone species, the rusty crayfish Faxonius rusticus Girard, 1852 (Decapoda: Decapoda: Astacidea: Cambaridae)",MacKay and Moore,2021,Journal of Crustacean Biology,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Formica rufa ,Red Wood Ant,"	Hymenoptera",The distribution of a group of keystone species is not associated with anthropogenic habitat disturbance,Fitzpatrick et al.,2021,Diversity and Distributions,Abundance,Biodiversity,Primary,network
Gadus morhua,Atlantic Cod,"	Gadiformes",Meta-Analysis of Cod–Shrimp Interactions Reveals Top-down Control in Oceanic Food Webs,Worm and Meyers,2003,Ecology,Abundance,No secondary response,Post-hoc,meta-anlsysis
Galeocerdo cuvier,Tiger Shark,Carcharhiniformes,Patterns of top-down control in a seagrass ecosystem: could a roving apex predator induce a behaviour-mediated trophic cascade?,Burkholder et al,2012,Journal of Animal Ecology,Behavioral,Life History,Primary,Empirical observation or experiment
Galeus melastomus,Blackmouth Catshark,"	Carcharhiniformes",THE KEYSTONE SPECIES IN THE DEMERSAL COMMUNITY FROM THE SANTA MARIA DI LEUCA COLD-WATER PROVINCE (MEDITERRANEAN SEA) Introduction -The trophic flows within the demersal community from the Santa,Carlucci et al.,2013,Biologia marina mediterranea,Abundance,No secondary response,Primary,network
Gammarus fossarum,Freshwater Shrimp,Decapoda,Additive effects of temperature and infection with an acanthocephalan parasite on the shredding activity of Gammarus fossarum (Crustacea: Amphipoda): the importance of aggregative behavior,Labaude et al.,2017,Global Change Biology,Chemical and Energy Cycling,No secondary response,Post-hoc,Determined from literature assessment
Gecarcoidea natalis,Christmas Island red crab,Decapoda,Invasional ‘meltdown’ on an oceanic island,O'Dowd et al.,2003,Ecology Letters,Abundance,Chemical and Energy Cycling,Post-hoc,Determined from literature assessment
Geomys bursarius,Plains Pocket Gopher,Rodentia,Effects of Plains Pocket Gopher (Geomys bursarius) Disturbances on Tallgrass-prairie Plant Community Structure,Rogers et al,2013,The American midland Naturalist,Biodiversity,Physical Effects,Primary,Empirical observation or experiment
Glaucomys sabrinus,Northern Flying Squirrel,Rodentia,"Ecology of Glaucomys sabrinus: Habitat, Demography, and Community Relations",Smith et al.,2007,Journal of Mammology,Chemical and Energy Cycling,No secondary response,Post-hoc,meta-anlsysis
Gopherus polyphemus,Gopher tortoise,"	Testudines",Functional relationships reveal keystone effects of the gopher tortoise on vertebrate diversity in a longleaf pine savanna,Catano and Stout ,2015,Biodiversity and Conservation,Biodiversity,Physical Effects,Primary,Empirical observation or experiment
Haematopus moquini,African black oystercatchers,"	Charadriiformes","Diet of the African black oystercatcher Haematopus moquini on rocky shores: spatial, temporal and sex-related variation",Hockey and Branch ,1984,African Zoology,Abundance,No secondary response,Primary,Empirical observation or experiment
Halichoerus grypus,Grey seal ,Carnivora,Using sensitivity analysis to identify keystone species and keystone links in size-based food webs,Berg et al. ,2011,Oikos,Biodiversity,No secondary response,Primary,network
Hesperoleucus symmetricus,California Roach,"	Cypriniformes","Floods, Food Chains, and Ecosystem Processes in Rivers",Power,1995,Linking Species and Ecosystems,Abundance,Chemical and Energy Cycling,Post-hoc,Determined from literature assessment
Ips typographus,Spruce Bark Beetle,"	Coleoptera",The European spruce bark beetle Ips typographus in a national park: from pest to keystone species,Müller et al.,2008,Biodiversity and Conservation,Abundance,Biodiversity,Primary,Empirical observation or experiment
Jasus edwardsii,Southern Rock Lobster,Decapoda,Lobsters as keystone: Only in unfished ecosystems?,Eddy et al.,2014,Ecological Modelling,Chemical and Energy Cycling,No secondary response,Primary,network
Lagostomus maximus,Plains Vizcacha,Lagomorpha,"Ecological roles and conservation challenges of social, burrowing, herbivorous mammals in the world's grasslands",Davidson et al.,2012,Frontiers in Ecology and the Environment,Physical Effects,No secondary response,Post-hoc,Determined from literature assessment
Larimichthys polyactis,Redlip Croaker,"	Acanthuriformes","Using network analysis to identify keystone species in the food web of Haizhou Bay, China",Wu et al.,2019,Marine and Freshwater Research,Abundance,No secondary response,Primary,network
Larus audouinii,Audouin's Gull,"	Charadriiformes",Contributions of food web modelling to the ecosystem approach to marine resource management in the Mediterranean Sea,Coll and Libralato,2012,Fish and Fisheries,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Lasiorhinus latifrons,Southern hairy-nosed wombat,"	Diprotodontia","Ecological roles and conservation challenges of social, burrowing, herbivorous mammals in the world's grasslands",Davidson et al.,2012,Frontiers in Ecology and the Environment,Physical Effects,No secondary response,Post-hoc,Determined from literature assessment
Laternula elliptica ,Saltwater Clam,"	Heterodonta","Anatomy and behavior of Laternula elliptica, a keystone species of the Antarctic benthos (Bivalvia: Anomalodesmata: Laternulidae)",Passos et al.,2022,PeerJ,Chemical and Energy Cycling,No secondary response,Post-hoc,Determined from literature assessment
Leander modestus,Chinese white prawn ,Decapoda,"Selection of keystone species based on stable carbon and nitrogen isotopes to construct a typical food web on the shore of Xingkai Lake, China",Xing et al.,2021,Ecological Indicators,Abundance,No secondary response,Primary,network
Lentidium mediterraneum,Lentidium mediterraneum,Myida,Bulgarian Initial assessment and GES Report. ,BSBD,2013,NA,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Leptochela gracilis,Lesser Glass Shrimp,"	Decapoda","Using network analysis to identify keystone species in the food web of Haizhou Bay, China",Wu et al.,2019,Marine and Freshwater Research,Abundance,No secondary response,Primary,network
Leptuca leptodactyla,Thin-fingered fiddler crab ,"	Decapoda",Mangrove crabs as ecosystem engineers; with emphasis on sediment processes,Kristensen,2008,Mangrove Macrobenthos Special Issue,Chemical and Energy Cycling,Physical Effects,Primary,Empirical observation or experiment
Leptuca uruguayensis,Uruguayan fiddler crab,"	Decapoda",Mangrove crabs as ecosystem engineers; with emphasis on sediment processes,Kristensen,2008,Mangrove Macrobenthos Special Issue,Chemical and Energy Cycling,Physical Effects,Primary,Empirical observation or experiment
Lepus americanus,Snowshoe hare,Lagomorpha,Prey availability and ambient temperature influence carrion persistence in the boreal forest,Peers et al.,2020,Journal of Animal Ecology,Chemical and Energy Cycling,No secondary response,Primary,Empirical observation or experiment
Limaria hians ,Gaping file shell,Limida,Limaria hians (Mollusca: Limacea): a neglected reef-forming keystone species,Hall-Spencer and Moore,2000,Aquatic Conservation: Marine and Freshwater Ecosystems,Physical Effects,Biodiversity,Post-hoc,Determined from literature assessment
Loligo plei,Tropical Arrow squid,"	Myopsida",The trophic role of the squid Loligo plei as a keystone species in the South Brazil Bight ecosystem,Gasalla et al.,2010,ICES Journal of Marine Science,Abundance,No secondary response,Primary,network
Lophius budegassa ,Blackbellied Angler,"	Lophiiformes",THE KEYSTONE SPECIES IN THE DEMERSAL COMMUNITY FROM THE SANTA MARIA DI LEUCA COLD-WATER PROVINCE (MEDITERRANEAN SEA) Introduction -The trophic flows within the demersal community from the Santa,Carlucci et al.,2013,Biologia marina mediterranea,Abundance,No secondary response,Primary,network
Loxodonta africana,African elephant,"	Proboscidea",Elephants and Fire as Causes of Multiple Stable States in the Serengeti-Mara Woodlands,Dublin ,1990,Journal of Animal Ecology,Abundance,Physical Effects,Primary,Empirical observation or experiment
Lynx lynx,Eurasian Lynx,Carnivora,"Usability of large carnivore as a keystone species in Eastern Black Sea Region, Turkey",Ucarli,2011,African Journal of Biotechnology,Abundance,No secondary response,Post-hoc,Determined from literature assessment
Lynx pardinus,Iberian lynx,Carnivora,"Positive Effects on Game Species of Top Predators by Controlling Smaller Predator Populations: An Example with Lynx, Mongooses, and Rabbits",Palomares et al,1994,Conservation Biology,Abundance,No secondary response,Primary,Empirical observation or experiment
Macoma balthica,Baltic clam,"	Cardiida","Burrowing behaviour of the Baltic clam Macoma balthica: effects of sediment type, hypoxia and predator presence",Tallqvist,2001,Marine Ecology Progress Series,Chemical and Energy Cycling,No secondary response,Primary,Empirical observation or experiment
Macrotis lagotis,Greater Bilby,Rodentia,Reintroduction of fossorial native mammals and potential impacts on ecosystem processes in an Australian desert landscape,James and Eldridge,2007,Biological Conservation,Biodiversity,Chemical and Energy Cycling,Primary,Empirical observation or experiment
